Label,Mean,StdDev,Max,Min
1,190.855,30.270,232,128
2,179.286,21.824,224,128
3,205.617,29.358,248,128
4,217.327,36.020,248,128
5,212.143,29.873,248,128
6,204.295,36.501,248,128
7,161.481,19.357,200,128
8,174.849,25.426,224,128
9,188.468,30.533,240,128
10,147.200,12.833,168,128
11,189.142,25.457,232,128
12,171.697,20.515,232,128
13,165.253,21.125,200,128
14,195.895,37.272,248,128
15,209.036,35.630,248,128
16,179.571,25.980,232,128
17,193.985,29.228,248,128
18,195.953,31.402,248,128
19,199.970,35.154,248,128
20,190.491,26.813,232,128
21,183.346,29.142,224,128
22,186.350,25.981,224,128
23,201.840,36.380,248,128
24,179.385,28.081,240,128
25,198.277,28.760,248,128
26,187.875,30.228,240,128
27,198.994,28.412,240,128
28,195.749,28.025,232,128
29,197.208,29.068,232,128
30,198.385,30.249,240,128
31,189.718,28.108,232,128
32,138.857,8.871,152,128
33,192.624,33.011,248,128
34,181.005,28.111,232,128
35,210.604,34.528,248,128
36,147.636,15.011,176,128
37,189.045,27.237,232,128
38,198.137,31.322,248,128
39,205.564,31.579,248,128
40,191.598,32.897,232,128
41,183.856,29.785,232,128
42,179.177,25.828,232,128
43,199.634,32.786,248,128
44,187.016,29.515,248,128
45,195.247,31.240,240,128
46,200.160,32.166,240,128
47,208.042,38.448,248,128
48,200.886,29.296,240,128
49,185.739,34.854,232,128
50,181.224,28.691,232,128
51,167.169,25.839,232,128
52,219.915,37.689,248,128
53,189.068,24.871,216,128
54,199.608,32.725,240,128
55,217.139,36.944,248,128
56,197.277,30.103,248,128
57,189.779,30.760,232,128
58,184.037,28.564,224,128
59,130.667,3.771,136,128
60,128.000,0,128,128
61,183.407,34.467,248,128
62,181.511,25.456,216,128
63,188.377,38.432,248,128
64,172.898,28.448,224,128
